inputsize, counts
100, 125, 0.000048
110, 134, 0.000018
120, 147, 0.000021
130, 152, 0.000020
140, 172, 0.000021
150, 184, 0.000021
160, 201, 0.000021
170, 205, 0.000021
180, 219, 0.000023
190, 226, 0.000024
200, 249, 0.000024
210, 248, 0.000024
220, 260, 0.000025
230, 282, 0.000026
240, 298, 0.000027
250, 305, 0.000027
260, 331, 0.000029
270, 314, 0.000027
280, 350, 0.000030
290, 359, 0.000031
300, 366, 0.000032
310, 388, 0.000033
320, 381, 0.000032
330, 408, 0.000033
340, 414, 0.000035
350, 418, 0.000036
360, 416, 0.000036
370, 461, 0.000038
380, 472, 0.000039
390, 481, 0.000038
400, 485, 0.000040
410, 500, 0.000040
420, 514, 0.000041
430, 523, 0.000042
440, 535, 0.000042
450, 559, 0.000043
460, 568, 0.000044
470, 587, 0.000045
480, 589, 0.000044
490, 583, 0.000046
500, 617, 0.000046
510, 643, 0.000047
520, 647, 0.000049
530, 663, 0.000049
540, 631, 0.000048
550, 667, 0.000051
560, 689, 0.000051
570, 705, 0.000051
580, 705, 0.000052
590, 717, 0.000053
600, 739, 0.000056
610, 763, 0.000055
620, 762, 0.000056
630, 778, 0.000062
640, 787, 0.000057
650, 837, 0.000062
660, 831, 0.000064
670, 794, 0.000061
680, 830, 0.000062
690, 844, 0.000065
700, 836, 0.000065
710, 898, 0.000068
720, 901, 0.000066
730, 897, 0.000065
740, 927, 0.000068
750, 922, 0.000069
760, 953, 0.000068
770, 943, 0.000068
780, 974, 0.000069
790, 966, 0.000069
800, 1002, 0.000070
810, 979, 0.000069
820, 1011, 0.000081
830, 1013, 0.000072
840, 1030, 0.000072
850, 1042, 0.000074
860, 1062, 0.000076
870, 1068, 0.000075
880, 1092, 0.000077
890, 1083, 0.000076
900, 1116, 0.000079
910, 1122, 0.000079
920, 1123, 0.000082
930, 1153, 0.000081
940, 1135, 0.000079
950, 1182, 0.000084
960, 1194, 0.000081
970, 1193, 0.000081
980, 1213, 0.000084
990, 1235, 0.000085
1000, 1223, 0.000084
